yearSeason,slugSeason,idTeam,idPlayer,typeGrid,namePlayer,nameTeam,typeEvent,typeAction,typeShot,dateGame,slugTeamHome,slugTeamAway,idGame,idEvent,numberPeriod,minutesRemaining,zoneBasic,nameZone,slugZone,zoneRange,locationX,locationxoriginal,locationY,locationYoriginal,secondsRemaining,distanceShot,isShotAttempted,isShotMade
2020,2022-23,1610612749,1629623,Shot Chart Detail,Lindell Wigginton,Milwaukee Bucks,Made Shot,Driving Layup Shot,2PT Field Goal,20230324,UTA,MIL,22201102,717,4,2,Restricted Area,Center,C,Less Than 8 ft.,13,-13,0,0,40,1,TRUE,TRUE
2020,2022-23,1610612749,201572,Shot Chart Detail,Brook Lopez,Milwaukee Bucks,Missed Shot,Tip Layup Shot,2PT Field Goal,20230325,DEN,MIL,22201109,332,3,10,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,12,0,TRUE,FALSE
2020,2022-23,1610612749,1626171,Shot Chart Detail,Bobby Portis,Milwaukee Bucks,Missed Shot,Tip Layup Shot,2PT Field Goal,20230325,DEN,MIL,22201109,394,3,5,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,19,0,TRUE,FALSE
2020,2022-23,1610612749,201572,Shot Chart Detail,Brook Lopez,Milwaukee Bucks,Made Shot,Tip Layup Shot,2PT Field Goal,20230327,DET,MIL,22201122,418,3,10,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,42,0,TRUE,TRUE
2020,2022-23,1610612749,1626171,Shot Chart Detail,Bobby Portis,Milwaukee Bucks,Made Shot,Running Jump Shot,2PT Field Goal,20230329,IND,MIL,22201136,246,2,5,Mid-Range,Right Side,R,8-16 ft.,-125,125,0,0,56,12,TRUE,TRUE
2020,2022-23,1610612749,1626192,Shot Chart Detail,Pat Connaughton,Milwaukee Bucks,Missed Shot,Tip Layup Shot,2PT Field Goal,20230329,IND,MIL,22201136,342,2,0,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,0,0,TRUE,FALSE
2020,2022-23,1610612749,201950,Shot Chart Detail,Jrue Holiday,Milwaukee Bucks,Missed Shot,Tip Layup Shot,2PT Field Goal,20230329,IND,MIL,22201136,485,3,2,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,51,0,TRUE,FALSE
2020,2022-23,1610612749,201950,Shot Chart Detail,Jrue Holiday,Milwaukee Bucks,Made Shot,Tip Layup Shot,2PT Field Goal,20230329,IND,MIL,22201136,487,3,2,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,50,0,TRUE,TRUE
2020,2022-23,1610612749,201572,Shot Chart Detail,Brook Lopez,Milwaukee Bucks,Missed Shot,Tip Layup Shot,2PT Field Goal,20230329,IND,MIL,22201136,622,4,7,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,27,0,TRUE,FALSE
2020,2022-23,1610612749,201572,Shot Chart Detail,Brook Lopez,Milwaukee Bucks,Made Shot,Tip Layup Shot,2PT Field Goal,20230329,IND,MIL,22201136,624,4,7,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,26,0,TRUE,TRUE
2020,2022-23,1610612749,201572,Shot Chart Detail,Brook Lopez,Milwaukee Bucks,Made Shot,Tip Layup Shot,2PT Field Goal,20230329,IND,MIL,22201136,676,4,4,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,19,0,TRUE,TRUE
2020,2022-23,1610612749,1626171,Shot Chart Detail,Bobby Portis,Milwaukee Bucks,Made Shot,Tip Layup Shot,2PT Field Goal,20230330,MIL,BOS,22201146,253,2,6,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,18,0,TRUE,TRUE
2020,2022-23,1610612749,203507,Shot Chart Detail,Giannis Antetokounmpo,Milwaukee Bucks,Missed Shot,Driving Layup Shot,2PT Field Goal,20230330,MIL,BOS,22201146,297,2,3,Restricted Area,Center,C,Less Than 8 ft.,-10,10,0,0,34,1,TRUE,FALSE
2020,2022-23,1610612749,1626171,Shot Chart Detail,Bobby Portis,Milwaukee Bucks,Made Shot,Tip Layup Shot,2PT Field Goal,20230330,MIL,BOS,22201146,299,2,3,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,31,0,TRUE,TRUE
2020,2022-23,1610612749,203507,Shot Chart Detail,Giannis Antetokounmpo,Milwaukee Bucks,Made Shot,Tip Layup Shot,2PT Field Goal,20230330,MIL,BOS,22201146,309,2,2,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,48,0,TRUE,TRUE
2020,2022-23,1610612749,1626171,Shot Chart Detail,Bobby Portis,Milwaukee Bucks,Missed Shot,Tip Layup Shot,2PT Field Goal,20230330,MIL,BOS,22201146,329,2,1,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,4,0,TRUE,FALSE
